mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.14405455589294433,0.029022831277827215,0.012535476684570312,0.001443756682583534,0.01,3.0,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_iter': 100}",0.07228915662650602,0.0,0.0,0.0,0.13636363636363635,0.041730558598028475,0.05497920676686437,10,0.11904761904761904,0.0,0.0,0.0,0.17613636363636365,0.05903679653679654,0.07452467707989455
0.2684196949005127,0.02898547637553209,0.021030950546264648,0.00304944702817666,0.01,3.0,200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_iter': 200}",0.07228915662650602,0.2247191011235955,0.27722772277227725,0.22,0.24,0.20684719610447572,0.07021508978510761,9,0.11904761904761904,0.1391304347826087,0.3058252427184466,0.2639593908629442,0.26424870466321243,0.21844227841496616,0.0748003817006514
0.36170172691345215,0.08228159533902295,0.019209957122802733,0.004830358131027813,0.01,5.0,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__max_iter': 100}",0.07228915662650602,0.0,0.0,0.0,0.13636363636363635,0.041730558598028475,0.05497920676686437,10,0.11904761904761904,0.0,0.0,0.0,0.17613636363636365,0.05903679653679654,0.07452467707989455
0.5735522270202636,0.06272593202727914,0.02618122100830078,0.002667332738088963,0.01,5.0,200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__max_iter': 200}",0.07228915662650602,0.3125,0.26,0.16842105263157894,0.25,0.21264204185161698,0.0839814661948414,7,0.11904761904761904,0.22162162162162163,0.2977667493796526,0.23342175066312998,0.2546419098143236,0.22529993010526933,0.059129416023768255
0.3931091785430908,0.03893851459291948,0.0174532413482666,0.0017354652202507385,0.01,,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': None, 'clf__max_iter': 100}",0.07228915662650602,0.0,0.0,0.0,0.13636363636363635,0.041730558598028475,0.05497920676686437,10,0.11904761904761904,0.0,0.0,0.0,0.17613636363636365,0.05903679653679654,0.07452467707989455
0.7689515113830566,0.08425775433925538,0.02943592071533203,0.0036443379875028964,0.01,,200,"{'clf__learning_rate': 0.01, 'clf__max_depth': None, 'clf__max_iter': 200}",0.07228915662650602,0.30612244897959184,0.2268041237113402,0.16842105263157894,0.27722772277227725,0.21017290094425886,0.0833479528889687,8,0.11904761904761904,0.28860759493670884,0.27848101265822783,0.23342175066312998,0.30025445292620867,0.24396248604637885,0.06643542889485961
0.11006727218627929,0.013409359583245805,0.01235060691833496,0.0012988680902377772,0.1,3.0,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_iter': 100}",0.3106796116504854,0.31683168316831684,0.27722772277227725,0.21359223300970873,0.25,0.2736662501201576,0.038509496376862754,6,0.31026252983293556,0.32038834951456313,0.3058252427184466,0.29683698296836986,0.2546419098143236,0.29759100296972774,0.022774031069635988
0.20357809066772461,0.013237187571282148,0.020332908630371092,0.0015711649747975154,0.1,3.0,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_iter': 200}",0.29906542056074764,0.3893805309734513,0.3114754098360656,0.25210084033613445,0.27722772277227725,0.3058499848957352,0.04639662116354838,5,0.3486238532110092,0.4008810572687225,0.3920704845814978,0.3708609271523179,0.30025445292620867,0.3625381550279513,0.03601242152227568
0.1809617519378662,0.018242671034542336,0.015200519561767578,0.0018272083808339012,0.1,5.0,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__max_iter': 100}",0.27184466019417475,0.3893805309734513,0.3025210084033613,0.2992125984251969,0.3269230769230769,0.3179763749838523,0.039743376163816214,4,0.35046728971962615,0.4008810572687225,0.37668161434977576,0.40425531914893614,0.3501199040767386,0.37648103691275986,0.02340271926867063
0.3343664169311523,0.02071329819028325,0.022550487518310548,0.0018843592670145734,0.1,5.0,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__max_iter': 200}",0.2962962962962963,0.3893805309734513,0.3114754098360656,0.26666666666666666,0.3269230769230769,0.31814839613911133,0.04080054788635334,3,0.3738738738738739,0.4008810572687225,0.3920704845814978,0.3876651982378855,0.3501199040767386,0.3809221036077436,0.017700670004818262
0.3775937080383301,0.022401693867444478,0.019439172744750977,0.0014444734571928558,0.1,,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': None, 'clf__max_iter': 100}",0.29906542056074764,0.3893805309734513,0.3230769230769231,0.26666666666666666,0.3269230769230769,0.3210225236401731,0.04036961187733027,2,0.3623853211009174,0.4008810572687225,0.416135881104034,0.3876651982378855,0.3501199040767386,0.38343747235765957,0.02426763970353668
0.5495956897735595,0.03156306123432269,0.029839706420898438,0.0019196053998933188,0.1,,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': None, 'clf__max_iter': 200}",0.2909090909090909,0.40350877192982454,0.33587786259541985,0.3076923076923077,0.34234234234234234,0.3360660750937971,0.03855429472379865,1,0.3775280898876405,0.4155844155844156,0.430062630480167,0.430062630480167,0.3936651583710407,0.4093805849606862,0.020763128875102684
