mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004889154434204101,0.0007045884291089589,0.11124510765075683,0.007274106022119328,distance,1,41,"{'weights': 'distance', 'p': 1, 'n_neighbors': 41}",0.0,0.0,0.0,0.0,0.02531645569620253,0.005063291139240506,0.010126582278481013,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00397343635559082,3.3626115528836605e-05,0.11041855812072754,0.011519870729768828,uniform,1,15,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 15}",0.05,0.075,0.12195121951219512,0.11904761904761904,0.14285714285714285,0.10177119628339142,0.03403150552638495,15,0.1592920353982301,0.1488095238095238,0.15339233038348082,0.13213213213213212,0.12084592145015106,0.14289438863470358,0.01425510080423101
0.0035306930541992186,0.0004902921977202656,0.11650624275207519,0.014506088497540965,distance,1,15,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15}",0.05,0.075,0.12195121951219512,0.11904761904761904,0.16470588235294117,0.10614094418255107,0.039919827312408104,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005634784698486328,0.0016490116119395797,0.13572616577148439,0.02391106557946238,uniform,1,41,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 41}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.01282051282051282,0.0,0.012779552715654952,0.01282051282051282,0.006430868167202572,0.008970289304776632,0.0051200328104624515
0.0051880359649658205,0.0033168435896862004,0.029048442840576172,0.0035218922677027805,uniform,2,31,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 31}",0.05,0.14457831325301204,0.075,0.025,0.14285714285714285,0.087487091222031,0.04856149972134788,16,0.08024691358024691,0.08615384615384615,0.09146341463414634,0.09202453987730061,0.09202453987730061,0.08838265082456813,0.0046298079477252565
0.004942846298217773,0.0020713108140554995,0.12461743354797364,0.01696582993712066,uniform,1,51,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 51}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004921722412109375,0.001996895833001839,0.11522526741027832,0.014262804069410424,uniform,1,3,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 3}",0.297029702970297,0.45714285714285713,0.4074074074074074,0.34545454545454546,0.48148148148148145,0.39770319889131767,0.06857276403450073,3,0.6528066528066528,0.6652977412731006,0.6484210526315789,0.6816326530612244,0.6542443064182195,0.6604804812381553,0.011948453494699399
0.0039311408996582035,0.000872528491688553,0.12024955749511719,0.01408080480456571,uniform,1,7,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 7}",0.1839080459770115,0.2222222222222222,0.3125,0.11494252873563218,0.2826086956521739,0.22323629851740795,0.07038234198442615,8,0.39593908629441626,0.45320197044334976,0.4050632911392405,0.4080604534005038,0.4080604534005038,0.41406505093560275,0.02006684392363606
0.0034911632537841797,0.0006919277189154703,0.11390886306762696,0.01623445791050665,uniform,1,5,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}",0.2,0.3157894736842105,0.36363636363636365,0.2653061224489796,0.43564356435643564,0.31607510482519785,0.08075851778137347,4,0.5070422535211268,0.5570776255707762,0.5219399538106235,0.5379310344827586,0.5231481481481481,0.5294278031066867,0.01693181862563557
0.003946828842163086,0.0008387652142432417,0.030335474014282226,0.018395171305381704,distance,2,1,"{'weights': 'distance', 'p': 2, 'n_neighbors': 1}",0.43795620437956206,0.3492063492063492,0.4057971014492754,0.34375,0.4927536231884058,0.4058926556447185,0.055942747445766786,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0034356117248535156,0.0004277991808456255,0.02167205810546875,0.0020220897863245245,uniform,2,3,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3}",0.3076923076923077,0.42592592592592593,0.43636363636363634,0.3888888888888889,0.4864864864864865,0.40907144907144904,0.059509815891995776,1,0.6512605042016807,0.6747474747474748,0.6471816283924844,0.6584362139917695,0.6514522821576764,0.6566156206982171,0.00976131384194201
0.003240823745727539,0.00040900177383770955,0.027773141860961914,0.007301688135693008,distance,2,15,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15}",0.07317073170731707,0.22727272727272727,0.16666666666666666,0.1411764705882353,0.20689655172413793,0.1630366295918168,0.054068275981648845,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.008002614974975586,0.00866113499853317,0.03179965019226074,0.00425827576349806,distance,2,21,"{'weights': 'distance', 'p': 2, 'n_neighbors': 21}",0.12048192771084337,0.20689655172413793,0.12195121951219512,0.0963855421686747,0.16470588235294117,0.14208422469375845,0.03917331706008423,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0037822723388671875,0.0003441805190803237,0.025125646591186525,0.0042461331974854915,distance,2,9,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9}",0.16470588235294117,0.24719101123595505,0.22727272727272727,0.20224719101123595,0.3368421052631579,0.23565178342720347,0.057605609566156124,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.003848838806152344,0.0007869658022654605,0.11924686431884765,0.014272304596399317,distance,1,9,"{'weights': 'distance', 'p': 1, 'n_neighbors': 9}",0.1411764705882353,0.24444444444444444,0.26373626373626374,0.11764705882352941,0.2247191011235955,0.19834466774321366,0.05809848160814981,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005117225646972656,0.0038619121261054493,0.12743682861328126,0.01819842048148415,distance,1,7,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7}",0.1839080459770115,0.2222222222222222,0.29473684210526313,0.11494252873563218,0.2826086956521739,0.2196836669384606,0.06610534576170127,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0031604766845703125,0.0009735003183256732,0.12021431922912598,0.01243785776177456,distance,1,51,"{'weights': 'distance', 'p': 1, 'n_neighbors': 51}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.003943443298339844,0.0010893893035018047,0.02420034408569336,0.004374435891338567,distance,2,7,"{'weights': 'distance', 'p': 2, 'n_neighbors': 7}",0.23404255319148937,0.2857142857142857,0.22727272727272727,0.26373626373626374,0.375,0.27715316598295325,0.05324263717227213,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0038317203521728515,0.0011703488199620313,0.11665410995483398,0.009879208264720635,distance,1,5,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5}",0.2,0.3157894736842105,0.36363636363636365,0.2653061224489796,0.43564356435643564,0.31607510482519785,0.08075851778137347,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006304883956909179,0.0043861836425987755,0.1051628589630127,0.010191390800158158,uniform,1,9,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9}",0.1411764705882353,0.24444444444444444,0.26373626373626374,0.11764705882352941,0.2247191011235955,0.19834466774321366,0.05809848160814981,10,0.3109919571045576,0.33421750663129973,0.3064516129032258,0.3541666666666667,0.3109919571045576,0.3233639400820615,0.01821409678287651
